k1,k2,distance_km
Istanbul|Türkei,Krywyj Rih|Ukraine,1440.9337
Istanbul|Türkei,Jaroslawl|Russland,3720.2412000000004
Istanbul|Türkei,Tirana|Albanien,980.5231
Istanbul|Türkei,Riga|Lettland,2851.5602999999996
Istanbul|Türkei,Malaga|Spanien,3888.7034
Bremen|Deutschland,Istanbul|Türkei,2448.5457
Istanbul|Türkei,Lissabon|Portugal,4088.4335
Chisinau|Moldau,Istanbul|Türkei,1008.3805
Dresden|Deutschland,Istanbul|Türkei,1983.7195
Genua|Italien,Istanbul|Türkei,2114.3668
Antwerpen|Belgien,Istanbul|Türkei,2626.6086
Istanbul|Türkei,Posen|Polen,2221.7415
Istanbul|Türkei,Rjasan|Russland,2684.56
Istanbul|Türkei,Nabereschnyje Tschelny|Russland,3544.7679
Istanbul|Türkei,Nürnberg|Deutschland,2012.4988999999998
Istanbul|Türkei,Skopje|Nordmazedonien,787.6843
Hannover|Deutschland,Istanbul|Türkei,2343.481
Istanbul|Türkei,Lyon|Frankreich,2398.5266
Istanbul|Türkei,Toulouse|Frankreich,2838.9296
Moskau|Russland,Sankt Petersburg|Russland,707.2286
Berlin|Deutschland,Moskau|Russland,1825.0858999999998
Madrid|Spanien,Moskau|Russland,4109.7997000000005
Kiew|Ukraine,Moskau|Russland,1076.3364
Moskau|Russland,Rom|Italien,3062.1445
Moskau|Russland,Paris|Frankreich,2841.1992
Moskau|Russland,Wien|Österreich,1948.1413
Minsk|Belarus,Moskau|Russland,715.4374
Moskau|Russland,Warschau|Polen,1264.4385
Bukarest|Rumänien,Moskau|Russland,1985.6402
Barcelona|Spanien,Moskau|Russland,3666.7853
Budapest|Ungarn,Moskau|Russland,2134.947
Moskau|Russland,München|Deutschland,2327.0845
Charkiw|Ukraine,Moskau|Russland,831.87
Moskau|Russland,Prag|Tschechin,2020.6994
Mailand|Italien,Moskau|Russland,2775.922
Moskau|Russland,Sofia|Bulgarien,2899.019
Kasan|Russland,Moskau|Russland,834.4271
Moskau|Russland,Nischni Nowgorod|Russland,435.7572
Belgrad|Serbien,Moskau|Russland,2506.7647
Moskau|Russland,Samara|Russland,1072.7843
Moskau|Russland,Rostow am Don|Russland,1085.9157
Moskau|Russland,Ufa|Russland,1331.2128
Moskau|Russland,Woronesch|Russland,525.5917
Moskau|Russland,Perm|Russland,1463.9817
Köln|Deutschland,Moskau|Russland,2365.4094
Moskau|Russland,Odessa|Ukraine,1459.4563999999998
Moskau|Russland,Wolgograd|Russland,973.6593
Dnipro|Ukraine,Moskau|Russland,1022.1424000000001
Krasnodar|Russland,Moskau|Russland,1380.0176000000001
Amsterdam|Niederlande,Moskau|Russland,2447.6072000000004
Moskau|Russland,Neapel|Italien,3261.1047999999996
Donezk|Ukraine,Moskau|Russland,1162.6162
Marseille|Frankreich,Moskau|Russland,3340.2231
Moskau|Russland,Turin|Italien,2891.8233
Moskau|Russland,Saratow|Russland,910.7048000000001
Moskau|Russland,Valencia|Spanien,4006.3305
Moskau|Russland,Zagreb|Kroatien,2313.0148
Frankfurt am Main|Deutschland,Moskau|Russland,2343.3451
Lwiw (Lemberg)|Ukraine,Moskau|Russland,1358.1408999999999
Moskau|Russland,Sevilla|Spanien,4576.6832
Moskau|Russland,Saragossa|Spanien,3942.7288
Breslau|Polen,Moskau|Russland,1607.9469
Lodz|Polen,Moskau|Russland,1390.0373
Athen|Griechenland,Moskau|Russland,3597.4797999999996
Moskau|Russland,Uljanowsk|Russland,823.2318
Moskau|Russland,Stuttgart|Deutschland,2380.5582000000004
Leipzig|Deutschland,Moskau|Russland,1978.1861999999999
Moskau|Russland,Vilnius|Litauen,905.7330999999999
Machatschkala|Russland,Moskau|Russland,1805.8707
Krywyj Rih|Ukraine,Moskau|Russland,1169.3203999999998
Jaroslawl|Russland,Moskau|Russland,270.1795
Moskau|Russland,Tirana|Albanien,3173.3972999999996
Moskau|Russland,Riga|Lettland,919.4169
Malaga|Spanien,Moskau|Russland,4622.4398
Bremen|Deutschland,Moskau|Russland,2180.4752999999996
Moskau|Russland,Orenburg|Russland,1459.2266000000002
Lissabon|Portugal,Moskau|Russland,4580.3764
Chisinau|Moldau,Moskau|Russland,1635.1486
Genua|Italien,Moskau|Russland,2950.6614
Antwerpen|Belgien,Moskau|Russland,2521.5646
Moskau|Russland,Posen|Polen,1563.0355
Moskau|Russland,Nabereschnyje Tschelny|Russland,1033.0764
Moskau|Russland,Nürnberg|Deutschland,2176.2446
Moskau|Russland,Skopje|Nordmazedonien,2935.6998
Astrachan|Russland,Moskau|Russland,1399.5772
Hannover|Deutschland,Moskau|Russland,2075.4106
Kirow|Russland,Moskau|Russland,979.7633000000001
Lyon|Frankreich,Moskau|Russland,3024.4689
Moskau|Russland,Pensa|Russland,643.1384
Moskau|Russland,Toulouse|Frankreich,3505.6262
Lipezk|Russland,Moskau|Russland,427.8126
Homel|Belarus,Moskau|Russland,660.876
Berlin|Deutschland,Sankt Petersburg|Russland,1731.8765
Madrid|Spanien,Sankt Petersburg|Russland,4016.5903
Kiew|Ukraine,Sankt Petersburg|Russland,1786.8411
Rom|Italien,Sankt Petersburg|Russland,2968.9351
Paris|Frankreich,Sankt Petersburg|Russland,2747.9897
Sankt Petersburg|Russland,Wien|Österreich,1854.9318999999998
Minsk|Belarus,Sankt Petersburg|Russland,793.6504
Sankt Petersburg|Russland,Warschau|Polen,1171.229
Hamburg|Deutschland,Sankt Petersburg|Russland,2011.5056000000002
Bukarest|Rumänien,Sankt Petersburg|Russland,2857.1635
Barcelona|Spanien,Sankt Petersburg|Russland,3573.5757999999996
Budapest|Ungarn,Sankt Petersburg|Russland,2041.7375
München|Deutschland,Sankt Petersburg|Russland,2233.8751
Charkiw|Ukraine,Sankt Petersburg|Russland,1542.3746999999998
Prag|Tschechin,Sankt Petersburg|Russland,1927.4898999999998
Mailand|Italien,Sankt Petersburg|Russland,2682.7126000000003
Sankt Petersburg|Russland,Sofia|Bulgarien,2805.8095
Kasan|Russland,Sankt Petersburg|Russland,1533.1318999999999
Nischni Nowgorod|Russland,Sankt Petersburg|Russland,1134.462
Belgrad|Serbien,Sankt Petersburg|Russland,2413.5553
Samara|Russland,Sankt Petersburg|Russland,1808.5858999999998
Rostow am Don|Russland,Sankt Petersburg|Russland,1789.9794
Sankt Petersburg|Russland,Ufa|Russland,2029.9176
Sankt Petersburg|Russland,Woronesch|Russland,1229.6553999999999
Perm|Russland,Sankt Petersburg|Russland,1929.9056
Köln|Deutschland,Sankt Petersburg|Russland,2272.2
Odessa|Ukraine,Sankt Petersburg|Russland,2169.9611
Sankt Petersburg|Russland,Wolgograd|Russland,1685.0741
Dnipro|Ukraine,Sankt Petersburg|Russland,1732.647
Krasnodar|Russland,Sankt Petersburg|Russland,2084.0813
Amsterdam|Niederlande,Sankt Petersburg|Russland,2354.3977999999997
Neapel|Italien,Sankt Petersburg|Russland,3167.8952999999997
Donezk|Ukraine,Sankt Petersburg|Russland,1866.6798000000001
Marseille|Frankreich,Sankt Petersburg|Russland,3247.0136
Sankt Petersburg|Russland,Turin|Italien,2798.6137999999996
Sankt Petersburg|Russland,Saratow|Russland,1622.1196
Sankt Petersburg|Russland,Valencia|Spanien,3913.1211000000003
Sankt Petersburg|Russland,Zagreb|Kroatien,2219.8053
Frankfurt am Main|Deutschland,Sankt Petersburg|Russland,2250.1357000000003
Lwiw (Lemberg)|Ukraine,Sankt Petersburg|Russland,1630.3006
Sankt Petersburg|Russland,Sevilla|Spanien,4483.4737000000005
Sankt Petersburg|Russland,Saragossa|Spanien,3849.5193
Breslau|Polen,Sankt Petersburg|Russland,1514.7374
Ischewsk|Russland,Sankt Petersburg|Russland,1879.7667
Lodz|Polen,Sankt Petersburg|Russland,1296.8279
Athen|Griechenland,Sankt Petersburg|Russland,3504.2704
Palermo|Italien,Sankt Petersburg|Russland,3863.4357999999997
Sankt Petersburg|Russland,Uljanowsk|Russland,1521.9365
Sankt Petersburg|Russland,Stuttgart|Deutschland,2287.3487
Leipzig|Deutschland,Sankt Petersburg|Russland,1884.9767
Sankt Petersburg|Russland,Vilnius|Litauen,726.8162
Machatschkala|Russland,Sankt Petersburg|Russland,2517.2855
Krywyj Rih|Ukraine,Sankt Petersburg|Russland,1879.825
Jaroslawl|Russland,Sankt Petersburg|Russland,847.0525
Sankt Petersburg|Russland,Tirana|Albanien,3080.1877999999997
Riga|Lettland,Sankt Petersburg|Russland,689.0054
Malaga|Spanien,Sankt Petersburg|Russland,4529.2303
Bremen|Deutschland,Sankt Petersburg|Russland,2087.2659
Orenburg|Russland,Sankt Petersburg|Russland,2195.0283
Lissabon|Portugal,Sankt Petersburg|Russland,4487.1669
Chisinau|Moldau,Sankt Petersburg|Russland,2117.4388
Dresden|Deutschland,Sankt Petersburg|Russland,1781.0495
Genua|Italien,Sankt Petersburg|Russland,2857.452
Antwerpen|Belgien,Sankt Petersburg|Russland,2428.3552
Posen|Polen,Sankt Petersburg|Russland,1469.8261
Rjasan|Russland,Sankt Petersburg|Russland,935.0401999999999
Nabereschnyje Tschelny|Russland,Sankt Petersburg|Russland,1731.7812
Nürnberg|Deutschland,Sankt Petersburg|Russland,2083.0352
Sankt Petersburg|Russland,Skopje|Nordmazedonien,2842.4903
Astrachan|Russland,Sankt Petersburg|Russland,2110.992
Hannover|Deutschland,Sankt Petersburg|Russland,1982.2012
Kirow|Russland,Sankt Petersburg|Russland,1447.1641000000002
Lyon|Frankreich,Sankt Petersburg|Russland,2931.2594
Pensa|Russland,Sankt Petersburg|Russland,1378.94
Sankt Petersburg|Russland,Toulouse|Frankreich,3412.4167
Lipezk|Russland,Sankt Petersburg|Russland,1139.2274
Homel|Belarus,Sankt Petersburg|Russland,964.4718
Berlin|Deutschland,Madrid|Spanien,2317.618
Berlin|Deutschland,Kiew|Ukraine,1345.4
Berlin|Deutschland,Rom|Italien,1502.8208
Berlin|Deutschland,Paris|Frankreich,1049.0174
